"","geneNames"
"945","LINC01362"
"946","LINC01361"
"947","LINC01725"
"948","AL035706.1"
"949","TTLL7"
"950","AL359504.2"
"951","PRKACB"
"952","SAMD13"
"953","RPF1"
"954","GNG5"
"955","SPATA1"
"956","CTBS"
"957","SSX2IP"
"958","LPAR3"
"959","MCOLN2"
"960","WDR63"
"961","MCOLN3"
"962","SYDE2"
"963","C1orf52"
"964","BCL10"
"965","AL078459.1"
"966","DDAH1"
"967","AL360219.1"
"968","AC092807.3"
"969","AC092807.2"
"970","ZNHIT6"
"971","COL24A1"
"972","AL136382.1"
"973","ODF2L"
"974","CLCA4"
"975","AL356270.1"
"976","AL049597.2"
"977","SH3GLB1"
"978","SELENOF"
"979","HS2ST1"
"980","AL121989.1"
"981","AC093155.3"
"982","LINC01140"
"983","AC099062.1"
"984","LMO4"
"985","LINC01364"
"986","PKN2-AS1"
"987","PKN2"
"988","GTF2B"
"989","KYAT3"
"990","RBMXL1"
"991","GBP3"
"992","GBP1"
"993","GBP2"
"994","GBP7"
"995","GBP4"
"996","AC099063.4"
"997","GBP5"
"998","AC099063.1"
"999","GBP6"
"1000","LRRC8B"
"1001","LRRC8C-DT"
"1002","LRRC8C"
"1003","AC099568.2"
"1004","LRRC8D"
"1005","AL391497.1"
"1006","ZNF326"
"1007","ZNF644"
"1008","HFM1"
"1009","CDC7"
"1010","TGFBR3"
"1011","BRDT"
"1012","EPHX4"
"1013","SETSIP"
"1014","BTBD8"
"1015","AC104836.1"
"1016","GLMN"
"1017","RPAP2"
"1018","GFI1"
"1019","EVI5"
"1020","RPL5"
"1021","FAM69A"
"1022","MTF2"
"1023","TMED5"
"1024","CCDC18"
"1025","DR1"
"1026","FNBP1L"
"1027","BCAR3"
"1028","AL109613.1"
"1029","DNTTIP2"
"1030","GCLM"
"1031","ARHGAP29"
"1032","ABCD3"
"1033","F3"
"1034","SLC44A3"
"1035","CNN3"
"1036","AC105942.1"
"1037","ALG14"
"1038","TMEM56"
"1039","TMEM56-RWDD3"
"1040","AC092802.1"
"1041","RWDD3"
"1042","AC092802.2"
"1043","PTBP2"
"1044","DPYD"
"1045","DPYD-AS1"
"1046","DPYD-AS2"
"1047","SNX7"
"1048","PLPPR4"
"1049","FRRS1"
"1050","AGL"
"1051","AC118553.1"
"1052","SLC35A3"
"1053","AC118553.2"
"1054","MFSD14A"
"1055","AC093019.2"
"1056","SASS6"
"1057","TRMT13"
"1058","LRRC39"
"1059","DBT"
"1060","RTCA-AS1"
"1061","RTCA"
"1062","CDC14A"
"1063","AL589990.1"
"1064","GPR88"
"1065","VCAM1"
"1066","EXTL2"
"1067","AC104506.1"
"1068","SLC30A7"
"1069","DPH5"
"1070","AC093157.2"
"1071","AC093157.1"
"1072","AL109741.1"
"1073","S1PR1"
"1074","LINC01307"
"1075","LINC01709"
"1076","RNPC3"
"1077","AMY2B"
